orden;sections;trd;From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
20.0;GT;INDEFINIDO;DocumentalsUnits;name;PROTOCOLIZACIÓN DEL PERSONAL DOCENTE;OriginalOrders;subject;2016-N.A-PROTOCOLIZACIÓN DEL PERSONAL DOCENTE;;Uno a Muchos Bidirecccional No.5
21.0;GT;100 AÑOS;DocumentalsUnits;name;PAZ Y SALVO GENERAL;OriginalOrders;subject;2016-L-GT-02-PAZ Y SALVO GENERAL;;Uno a Muchos Bidirecccional No.5
22.0;GT;N.A;DocumentalsUnits;name;EVALUACIÓN DE DOCENTES(PREESCOLAR Y PRIMERO);OriginalOrders;subject;2016-L-GT-03-EVALUACIÓN DE DOCENTES(PREESCOLAR Y PRIMERO);;Uno a Muchos Bidirecccional No.5
23.0;GT;5 AÑOS;DocumentalsUnits;name;ACTA DE REUNIÓN DE COPASST;OriginalOrders;subject;2016-N.A-ACTA DE REUNIÓN DE COPASST;;Uno a Muchos Bidirecccional No.5
24.0;GT;5 AÑOS;DocumentalsUnits;name;ACTAS DE COMITÉ DE CONVIVENCIA LABORAL;OriginalOrders;subject;2016-N.A-ACTAS DE COMITÉ DE CONVIVENCIA LABORAL;;Uno a Muchos Bidirecccional No.5
25.0;GT;20 AÑOS;DocumentalsUnits;name;DOCUMENTOS DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;OriginalOrders;subject;2016-N.A-DOCUMENTOS DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;;Uno a Muchos Bidirecccional No.5
26.0;GT;N.A;DocumentalsUnits;name;PLAN DE EMERGENCIAS;OriginalOrders;subject;2016-N.A-PLAN DE EMERGENCIAS;;Uno a Muchos Bidirecccional No.5
27.0;GT;N.A;DocumentalsUnits;name;PLAN DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL.;OriginalOrders;subject;2016-N.A-PLAN DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL.;;Uno a Muchos Bidirecccional No.5
28.0;GT;100 AÑOS;DocumentalsUnits;name;LIQUIDACIONES DE PERSONAL;OriginalOrders;subject;2016-N.A-LIQUIDACIONES DE PERSONAL;;Uno a Muchos Bidirecccional No.5
29.0;GT;5 AÑOS;DocumentalsUnits;name;GT - CORRESPONDENCIA ENVIADA;OriginalOrders;subject;2016-N.A-GT - CORRESPONDENCIA ENVIADA;;Uno a Muchos Bidirecccional No.5
30.0;GT;5 AÑOS;DocumentalsUnits;name;GT - CIRCULARES;OriginalOrders;subject;2016-N.A-GT - CIRCULARES;;Uno a Muchos Bidirecccional No.5
