From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
Sections;code;GC;Series;name;RELACIONES DE FACTURAS POR PAGAR;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;INSCRIPCIONES DE PROVEEDORES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;EVALUACIONES Y SELECCIOOON DE PROVEEDORES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;LISTADOS DE PROVEEDORES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;REEVALUACIONES DE PROVEEDORES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;SOLICITUDES DE COMPRAS;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;KAAARDEX DE ALMACEEEN;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;LISTADOS DE INVENTARIOS DE ACTIVOS Y RELACIOOON DE NOVEDADES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;EVALUACIONES DEL SERVICIO DE COMPRAS Y SUMINISTROS;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;REGISTROS DE SOPORTES DE INSCRIPCIOOON Y EVALUACIOOON DE PROVEEDORES;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;GC-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GC;Series;name;GC-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;PLANES DE MANTENIMIENTOS;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;PLANES DE CONTROL DE PLAGAS;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;SOLICITUDES DE MANTENIMIENTOS CORRECTIVOS;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;PLANILLAS DE ACTIVIDADES DE MANTENIMIENTO;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;HOJAS DE VIDA DE EQUIPOS;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;CONTROLES DE ASEO SEMANAL;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;CONTROLES DE MANTENIMIENTO DE LA PISCINA;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;EVALUACIONES DEL SERVICIO DE ASEO Y MANTENIMIENTO;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;REPORTES DE INCIDENCIAS Y DANNNOS EN AULAS Y ZONAS COMUNAS;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;SG-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;SG;Series;name;SG-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;SC;Series;name;MATRICES DE SERVICIOS COMPLEMENTARIOS;Uno a Muchos Bidirecccional No.5
Sections;code;SC;Series;name;SOLICITUDES DE SERVICIOS DE FOTOCOPIADO E IMPRESIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;SC;Series;name;SC-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;SC;Series;name;SC-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;LISTADOS MAESTRO DE DOCUMENTOS;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;LISTADOS MAESTRO DE REGISTROS;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;PLANES DE AUDITORIIIA INTERNA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;ACTAS DE APERTURA Y CIERRE DE AUDITORIIIA INTERNA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;LISTAS DE CHEQUEO;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;EVALUACIONES DE GESTIOOON DE LA AUDITORIIIA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;INFORMES DE AUDITORIIIA INTERNA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;CONTROLES DEL SERVICIO NO CONFORME;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;IMPLEMENTACIONES DE ACCIONES CORRECTIVAS, PREVENTIVAS O DE MEJORA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;QUEJAS, SUGERENCIAS Y FELICITACIONES;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;SEGUIMIENTOS Y CONTROLES DE QUEJAS, SUGERENCIAS Y FELICITACIONES;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;COMPORTAMIENTOS DE LOS INDICADORES DE GESTIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;ENCUESTAS DE SATISFACCIOOON DE PADRES DE FAMILIA Y ESTUDIANTES;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;MATRICES DE POSIBLES SERVICIOS NO CONFORMES;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;INFORMES DE RESULTADOS DE ENCUESTAS DE SATISFACCIOOON;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;ACTAS DE REUNIONES DEL COMITEEE DE LA CALIDAD;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;GQ-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GQ;Series;name;GQ-CIRCULAR;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;RADICACIONES Y DISTRIBUCIOOON DE CORRESPONDENCIA RECIBIDA;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;RADICACIONES DE CORRESPONDENCIA ENVIADA;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;ENTRADAS DE DOCUMENTOS AL ARCHIVO CENTRAL;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;DEPURACIONES DE ARCHIVO;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;GI-CORRESPONDENCIA;Uno a Muchos Bidirecccional No.5
Sections;code;GI;Series;name;GI-CIRCULAR;Uno a Muchos Bidirecccional No.5
