Entity;FindProperty;Findvalue;UpdateProperty;UpdateValue
DocumentalsUnits;name;ACTAS DE COMITÉ DE CONVIVENCIA LABORAL;orden;24
DocumentalsUnits;name;DOCUMENTOS DEL SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO;orden;25
DocumentalsUnits;name;PLAN DE EMERGENCIAS;orden;26
DocumentalsUnits;name;PLAN DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL.;orden;27
DocumentalsUnits;name;LIQUIDACIONES DE PERSONAL;orden;28
DocumentalsUnits;name;GT - CORRESPONDENCIA ENVIADA;orden;29
DocumentalsUnits;name;GT - CIRCULARES;orden;30
DocumentalsUnits;name;EJECUCIÓN PRESUPUESTAL;orden;1
DocumentalsUnits;name;GF - REQUISICIÓN;orden;2
DocumentalsUnits;name;CARTERA ACTUALIZADA COLEGIOS;orden;3
DocumentalsUnits;name;CONCILIACIÓN CUENTA MOROSOS;orden;4
DocumentalsUnits;name;RESUMEN DE CARTERA MOROSA;orden;5
DocumentalsUnits;name;PLANILLA DIARIA DE VENTAS EN CAFETERÍA;orden;6
DocumentalsUnits;name;COMPROBANTES DE EGRESO;orden;7
DocumentalsUnits;name;SOPORTES COMPROBANTES DE EGRESO;orden;8
DocumentalsUnits;name;GF - CORRESPONDENCIA ENVIADA;orden;9
DocumentalsUnits;name;GF - CIRCULARES;orden;10
DocumentalsUnits;name;SOLICITUD Y ENTREGA DE SUMINISTROS;orden;1
DocumentalsUnits;name;COMPARATIVO DE OFERTAS;orden;2
DocumentalsUnits;name;ORDEN DE COMPRA;orden;3
DocumentalsUnits;name;DEVOLUCIÓN DE ARTÍCULOS;orden;4
DocumentalsUnits;name;RELACIÓN DE FACTURAS POR PAGAR;orden;5
DocumentalsUnits;name;INSCRIPCIÓN DE PROVEEDORES;orden;6
DocumentalsUnits;name;EVALUACIÓN Y SELECCIÓN DE PROVEEDORES;orden;7
DocumentalsUnits;name;LISTADO DE PROVEEDORES;orden;8
DocumentalsUnits;name;REEVALUACIÓN DE PROVEEDORES;orden;9
DocumentalsUnits;name;SOLICITUD DE COMPRAS;orden;10
DocumentalsUnits;name;KÁRDEX DE ALMACÉN;orden;11
DocumentalsUnits;name;GC - REQUISICIÓN;orden;12
DocumentalsUnits;name;LISTADO DE INVENTARIO DE ACTIVOS Y RELACIÓN DE NOVEDADES;orden;13
DocumentalsUnits;name;EVALUACIÓN DEL SERVICIO DE COMPRAS Y SUMINISTROS;orden;14
DocumentalsUnits;name;REGISTROS SOPORTES DE INSCRIPCIÓN Y EVALUACIÓN DE PROVEEDORES;orden;15
DocumentalsUnits;name;GC - CORRESPONDENCIA ENVIADA;orden;16
DocumentalsUnits;name;GC - CIRCULARES;orden;17
DocumentalsUnits;name;PLAN DE MANTENIMIENTO;orden;1
DocumentalsUnits;name;PLAN CONTROL DE PLAGAS;orden;2
DocumentalsUnits;name;SOLICITUD DE MANTENIMIENTO CORRECTIVO;orden;3
DocumentalsUnits;name;PLANILLA DE ACTIVIDADES DE MANTENIMIENTO;orden;4
DocumentalsUnits;name;HOJA DE VIDA DE EQUIPOS;orden;5
DocumentalsUnits;name;CONTROL DE ASEO SEMANAL;orden;6
DocumentalsUnits;name;CONTROL DE MANTENIMIENTO DE LA PISCINA;orden;7
DocumentalsUnits;name;EVALUACIÓN DEL SERVICIO DE ASEO Y MANTENIMIENTO;orden;8
DocumentalsUnits;name;REPORTE DE  DAÑOS;orden;9
DocumentalsUnits;name;SG - CORRESPONDENCIA ENVIADA;orden;10
DocumentalsUnits;name;SG - CIRCULARES;orden;11
DocumentalsUnits;name;MATRIZ DE SERVICIOS COMPLEMENTARIOS;orden;1
DocumentalsUnits;name;SOLICITUD DEL SERVICIO DE FOTOCOPIADO E IMPRESIÓN;orden;2
DocumentalsUnits;name;SC - CORRESPONDENCIA ENVIADA;orden;3
DocumentalsUnits;name;SC - CIRCULARES;orden;4
DocumentalsUnits;name;RADICACIÓN Y DISTRIBUCIÓN DE CORRESPONDENCIA ENVIADA RECIBIDA;orden;1
DocumentalsUnits;name;RADICACIÓN DE CORRESPONDENCIA ENVIADA ENVIADA;orden;2
DocumentalsUnits;name;ENTRADA DE DOCUMENTOS AL ARCHIVO CENTRAL;orden;3
DocumentalsUnits;name;DEPURACIÓN DE ARCHIVO;orden;4
DocumentalsUnits;name;GI - CORRESPONDENCIA ENVIADA;orden;5
DocumentalsUnits;name;GI - CIRCULARES;orden;6
DocumentalsUnits;name;ELABORACIÓN, MODIFICACIÓN O ELIMINACIÓN DE DOCUMENTOS DEL SGC;orden;1
DocumentalsUnits;name;LISTADO MAESTRO DE DOCUMENTOS;orden;2
DocumentalsUnits;name;LISTADO MAESTRO DE REGISTROS;orden;3
DocumentalsUnits;name;PLAN DE AUDITORÍA INTERNA;orden;4
DocumentalsUnits;name;ACTA DE APERTURA Y CIERRE DE AUDITORÍA INTERNA;orden;5
DocumentalsUnits;name;LISTA DE CHEQUEO;orden;6
DocumentalsUnits;name;EVALUACIÓN DE GESTIÓN DE LA AUDITORÍA;orden;7
DocumentalsUnits;name;INFORME DE AUDITORÍA INTERNA;orden;8
DocumentalsUnits;name;CONTROL DEL SERVICIO NO CONFORME;orden;9
DocumentalsUnits;name;IMPLEMENTACIÓN DE ACCIONES CORRECTIVAS, PREVENTIVAS O DE MEJORA;orden;10
DocumentalsUnits;name;QUEJAS, SUGERENCIAS Y FELICITACIONES;orden;11
DocumentalsUnits;name;SEGUIMIENTO Y CONTROL DE QUEJAS, SUGERENCIAS Y FELICITACIONES;orden;12
DocumentalsUnits;name;COMPORTAMIENTO DE LOS INDICADORES DE GESTIÓN;orden;13
DocumentalsUnits;name;ENCUESTA DE SATISFACCIÓN DE PADRES DE FAMILIA Y ESTUDIANTES;orden;14
DocumentalsUnits;name;MATRIZ DE POSIBLES SERVICIOS NO CONFORMES;orden;15
DocumentalsUnits;name;PROGRAMA DE AUDITORIA;orden;16
DocumentalsUnits;name;INFORME DE RESULTADOS DE ENCUESTAS DE SATISFACCIÓN;orden;17
DocumentalsUnits;name;ACTA DE REUNIÓN DEL COMITÉ DE LA CALIDAD;orden;18
DocumentalsUnits;name;GQ - CORRESPONDENCIA ENVIADA;orden;19
DocumentalsUnits;name;GQ - CIRCULARES;orden;20
