AUTORIZACIONES RETIRO DE ESTUDIANTES;;;;;
LISTAS DE CHEQUEO PARA RECEPCI‡N DE DOCUMENTOS PARA LA MATRICULA;;;;;
CONTRATOS DE PRESTACI‡N DEL SERVICIO EDUCATIVO;;;;;
LISTADOS DE ESTUDIANTES MATRICULADOS;;;;;
LISTADOS DE ASPIRANTES ADMITIDOS;;;;;
LISTADOS DE ASPIRANTES INSCRITOS;;;;;
PAZ Y SALVO ESTUDIANTES;;;;;
LIBROS DE ACTAS DE GRADO;;;;;
AM-CORRESPONDENCIA;;;;;
AM-CIRCULAR;;;;;
HORARIOS DE CLASES;;;;;
REGISTROS DE VALIDACI‡N DE LA PRESTACI‡N DEL SERVICIO EDUCATIVO;;;;;
CONTROLES DE ACTIVIDADES DE SUPERACI‡N O RECUPERACI‡N;;;;;
OBSERVADORES DEL ESTUDIANTE;;;;;
PLANES DE CURSO;;;;;
CONTROLES DE ATENCI‡N PARA ORIENTACI‡N;;;;;
AUTORIZACIONES PARA ESTUDIANTES;;;;;
CITACIONES A PADRES DE FAMILIA;;;;;
REMISIONES DE ESTUDIANTES A ORIENTACI‡N;;;;;
HISTORIAS Y SEGUIMIENTO PSICOLOG÷A;;;;;
AUTOS REGISTRO DE RETARDOS;;;;;
CONTENIDOS PROGRAMµTICOS;;;;;
CONTROLES DE CITACIONES A PADRES DE FAMILIA;;;;;
PLANES DE ASIGNATURA;;;;;
REGISTROS DE NORMALIZACI‡N;;;;;
ACTAS DE COMPROMISO ACADêMICO;;;;;
ACTAS DE COMPROMISO COMPORTAMENTAL;;;;;
CLAUSULAS ESPECIALES DE MATRICULA;;;;;
CONTROLES DE ASISTENCIA A ACTIVIDADES DE APOYO;;;;;
EVALUACIONES DE ACTIVIDADES DE APOYO;;;;;
INFORMES PERIODICOS DE PSICOLOG÷A A COORDINACI‡N;;;;;
PLANILLAS DE SEGUIMIENTO- NIVEL PREESCOLAR;;;;;
PLANES DE µREA;;;;;
PROYECTOS PEDAG‡GICO;;;;;
REGISTROS DE ATENCI‡N A PADRES DE FAMILIA O ACUDIENTES;;;;;
ACTAS DE COMISI‡N DE EVALUACI‡N Y PROMOCI‡N;;;;;
ACTAS DE CONSEJO ACADêMICO;;;;;
ACTAS DE REUNI‡N DE DEPARTAMENTO O µREA;;;;;
PLANILLAS DE CALIFICACIONES / CONTROL DE ASISTENCIA;;;;;
INFORMES O RESULTADOS DE PRUEBAS EXTERNAS;;;;;
INFORMES DE COMISIONES DE EVALUACI‡N Y PROMOCI‡N;;;;;
LIBROS DE CALIFICACIONES FINALES;;;;;
GE-CORRESPONDENCIA;;;;;
GE-CIRCULAR;;;;;
SOLICITUDES DE PERSONAL;;;;;
FORMATOS DE ENTREVISTA;;;;;
HOJAS DE VIDA INSTITUCIONAL;;;;;
CONTRATOS LABORALES;;;;;
REGISTROS DE INDUCCI‡N;;;;;
INGRESOS DE PERSONAL;;;;;
EVALUACIONES DE DESEMPE•O;;;;;
REGISTROS DE NOVEDADES;;;;;
ENCUESTAS DE CLIMA ORGANIZACIONAL;;;;;
DECLARACIONES DE COMPETENCIA;;;;;
PLANES DE FORMACI‡N;;;;;
SOLICITUDES DE CAPACITACI‡N;;;;;
PLANES DE BIENESTAR;;;;;
RETIROS DE PERSONAL;;;;;
SOLICITUDES DE PERMISOS;;;;;
SEGUIMIENTOS Y ASISTENCIA A CAPACITACI‡N;;;;;
NOMINAS MENSUALES;;;;;
ACTAS DE DESCARGOS, CONCILIACI‡N O COMPROMISO;;;;;
EVALUACIONES DE LA ATENCI‡N A PADRES DE FAMILIA O ACUDIENTES;;;;;
PAZ Y SALVOS GENERALES;;;;;
EVALUACIONES DE DOCENTES (PREESCOLAR Y PRIMERO);;;;;
PROTOCOLIZACIONES DEL PERSONAL DOCENTE;;;;;
ACTAS DE REUNI‡N DE COPASST;;;;;
ACTAS DE COMITê DE CONVIVENCIA LABORAL;;;;;
DOCUMENTOS DEL SISTEMA DE GESTI‡N DE LA SEGURIDAD Y SALUD EN EL TRABAJO;;;;;
PLANES DE EMERGENCIAS;;;;;
PLANES DE MEJORAMIENTO ENCUESTA DE CLIMA ORGANIZACIONAL;;;;;
LIQUIDACIONES DE PERSONAL;;;;;
GT-CORRESPONDENCIA;;;;;
GT-CIRCULAR;;;;;
EJECUCIONES PRESUPUESTALES;;;;;
REQUISICIONES GF;;;;;
CARTERAS ACTUALIZADAS DE LOS COLEGIOS;;;;;
CONCILIACIONES  CUENTA DE MOROSOS;;;;;
RESUMENES DE CARTERA MOROSA;;;;;
PLANILLAS DIARIAS DE VENTAS EN CAFETERIA;;;;;
INFORMES MENSUALES DE VENTAS EN CAFETERIA;;;;;
COMPROBANTES DE EGRESO;;;;;
SOPORTES COMPROBANTES DE EGRESO;;;;;
GF-CORRESPONDENCIA;;;;;
GF-CIRCULAR;;;;;
SOLICITUDES Y ENTREGAS DE SUMINISTROS;;;;;
COMPARATIVOS DE OFERTAS;;;;;
ORDENES DE COMPRA;;;;;
DEVOLUCIONES DE ART÷CULOS;;;;;
RELACIONES DE FACTURAS POR PAGAR;;;;;
INSCRIPCIONES DE PROVEEDORES;;;;;
EVALUACIONES Y SELECCI‡N DE PROVEEDORES;;;;;
LISTADOS DE PROVEEDORES;;;;;
REEVALUACIONES DE PROVEEDORES;;;;;
SOLICITUDES DE COMPRAS;;;;;
KµRDEX DE ALMACêN;;;;;
LISTADOS DE INVENTARIOS DE ACTIVOS Y RELACI‡N DE NOVEDADES;;;;;
EVALUACIONES DEL SERVICIO DE COMPRAS Y SUMINISTROS;;;;;
REGISTROS DE SOPORTES DE INSCRIPCI‡N Y EVALUACI‡N DE PROVEEDORES;;;;;
GC-CORRESPONDENCIA;;;;;
GC-CIRCULAR;;;;;
PLANES DE MANTENIMIENTOS;;;;;
PLANES DE CONTROL DE PLAGAS;;;;;
SOLICITUDES DE MANTENIMIENTOS CORRECTIVOS;;;;;
PLANILLAS DE ACTIVIDADES DE MANTENIMIENTO;;;;;
HOJAS DE VIDA DE EQUIPOS;;;;;
CONTROLES DE ASEO SEMANAL;;;;;
CONTROLES DE MANTENIMIENTO DE LA PISCINA;;;;;
EVALUACIONES DEL SERVICIO DE ASEO Y MANTENIMIENTO;;;;;
REPORTES DE INCIDENCIAS Y DA•OS EN AULAS Y ZONAS COMUNAS;;;;;
SG-CORRESPONDENCIA;;;;;
SG-CIRCULAR;;;;;
MATRICES DE SERVICIOS COMPLEMENTARIOS;;;;;
SOLICITUDES DE SERVICIOS DE FOTOCOPIADO E IMPRESI‡N;;;;;
SC-CORRESPONDENCIA;;;;;
SC-CIRCULAR;;;;;
ELABORACI‡N, MODIFICACI‡N O ELIMINACI‡N DE DOCUMENTOS DEL SGC;;;;;
LISTADOS MAESTRO DE DOCUMENTOS;;;;;
LISTADOS MAESTRO DE REGISTROS;;;;;
PLANES DE AUDITOR÷A INTERNA;;;;;
ACTAS DE APERTURA Y CIERRE DE AUDITOR÷A INTERNA;;;;;
LISTAS DE CHEQUEO;;;;;
EVALUACIONES DE GESTI‡N DE LA AUDITOR÷A;;;;;
INFORMES DE AUDITOR÷A INTERNA;;;;;
CONTROLES DEL SERVICIO NO CONFORME;;;;;
IMPLEMENTACIONES DE ACCIONES CORRECTIVAS, PREVENTIVAS O DE MEJORA;;;;;
QUEJAS, SUGERENCIAS Y FELICITACIONES;;;;;
SEGUIMIENTOS Y CONTROLES DE QUEJAS, SUGERENCIAS Y FELICITACIONES;;;;;
COMPORTAMIENTOS DE LOS INDICADORES DE GESTI‡N;;;;;
ENCUESTAS DE SATISFACCI‡N DE PADRES DE FAMILIA Y ESTUDIANTES;;;;;
MATRICES DE POSIBLES SERVICIOS NO CONFORMES;;;;;
INFORMES DE RESULTADOS DE ENCUESTAS DE SATISFACCI‡N;;;;;
ACTAS DE REUNIONES DEL COMITê DE LA CALIDAD;;;;;
GQ-CORRESPONDENCIA;;;;;
GQ-CIRCULAR;;;;;
RADICACIONES Y DISTRIBUCI‡N DE CORRESPONDENCIA RECIBIDA;;;;;
RADICACIONES DE CORRESPONDENCIA ENVIADA;;;;;
ENTRADAS DE DOCUMENTOS AL ARCHIVO CENTRAL;;;;;
DEPURACIONES DE ARCHIVO;;;;;
GI-CORRESPONDENCIA;;;;;
GI-CIRCULAR;;;;;
