From;FromProperty;FromValue;To;ToProperty;ToValue;Cardinalities
Items;serial;R09PP1;Hosts;name;R09PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R09PP2;Hosts;name;R09PP2;Uno a Muchos Bidirecccional No.5
Items;serial;R10PP1;Hosts;name;R10PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R11PP1;Hosts;name;R11PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R11PP2;Hosts;name;R11PP2;Uno a Muchos Bidirecccional No.5
Items;serial;R12PP1;Hosts;name;R12PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R13PP1;Hosts;name;R13PP1;Uno a Muchos Bidirecccional No.5
Items;serial;R14PP1;Hosts;name;R14PP1;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZ5;Hosts;name;MXL3200LZ5;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZP;Hosts;name;MXL3200LZP;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M09;Hosts;name;MXL3200M09;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LX1;Hosts;name;MXL3200LX1;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXY;Hosts;name;MXL3200LXY;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZR;Hosts;name;MXL3200LZR;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZL;Hosts;name;MXL3200LZL;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZT;Hosts;name;MXL3200LZT;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M07;Hosts;name;MXL3200M07;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXX;Hosts;name;MXL3200LXX;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LWN;Hosts;name;MXL3200LWN;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M0B;Hosts;name;MXL3200M0B;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXV;Hosts;name;MXL3200LXV;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M3K;Hosts;name;MXL3200M3K;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZM;Hosts;name;MXL3200LZM;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LY5;Hosts;name;MXL3200LY5;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LY1;Hosts;name;MXL3200LY1;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LWR;Hosts;name;MXL3200LWR;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZD;Hosts;name;MXL3200LZD;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYB;Hosts;name;MXL3200LYB;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXT;Hosts;name;MXL3200LXT;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYS;Hosts;name;MXL3200LYS;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LX7;Hosts;name;MXL3200LX7;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LWJ;Hosts;name;MXL3200LWJ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZQ;Hosts;name;MXL3200LZQ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYY;Hosts;name;MXL3200LYY;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZ2;Hosts;name;MXL3200LZ2;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LX9;Hosts;name;MXL3200LX9;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZC;Hosts;name;MXL3200LZC;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZK;Hosts;name;MXL3200LZK;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXJ;Hosts;name;MXL3200LXJ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LX5;Hosts;name;MXL3200LX5;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LY3;Hosts;name;MXL3200LY3;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZG;Hosts;name;MXL3200LZG;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LX2;Hosts;name;MXL3200LX2;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LY8;Hosts;name;MXL3200LY8;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYJ;Hosts;name;MXL3200LYJ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXD;Hosts;name;MXL3200LXD;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYD;Hosts;name;MXL3200LYD;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYW;Hosts;name;MXL3200LYW;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LZW;Hosts;name;MXL3200LZW;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXF;Hosts;name;MXL3200LXF;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M01;Hosts;name;MXL3200M01;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXQ;Hosts;name;MXL3200LXQ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYH;Hosts;name;MXL3200LYH;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYK;Hosts;name;MXL3200LYK;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYQ;Hosts;name;MXL3200LYQ;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYR;Hosts;name;MXL3200LYR;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LYM;Hosts;name;MXL3200LYM;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LY2;Hosts;name;MXL3200LY2;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LWM;Hosts;name;MXL3200LWM;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXL;Hosts;name;MXL3200LXL;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200M3J;Hosts;name;MXL3200M3J;Uno a Muchos Bidirecccional No.5
Items;serial;MXL3200LXZ;Hosts;name;MXL3200LXZ;Uno a Muchos Bidirecccional No.5
