";";;;
String;String;Double;ConstructionMaterials
528;Rejilla con sosco de aluminio 6 x 4'';0,0;
529;"Tubo de Gres de 10""";0,0;
530;"Tubo de Gres de 12""";0,0;
531;"Tubo de Gres de 3""";0,0;
532;"Tubo de Gres de 4""";0,0;
533;Tuberia de Gress de 8'';0,0;
534;Materiales ConexiΩn Pozos;0,0;
535;"Tubo en Concreto Reforzado ù=36""";0,0;
601;Ducteria ;0,0;
602;Ducteria Salida T.V;0,0;
603;Ducteria Salida Tel?fono;0,0;
604;Ducteria Subacometida El?ctrica;0,0;
605;Cableado;0,0;
606;Cableado Tomacorriente Especial 110V;0,0;
607;CableadoSalida para T.V ;0,0;
608;CableadoSalida para Tel?fono;0,0;
609;Cableado  Subacometida El?ctrica;0,0;
610;Cinta;0,0;
611;Cinta Subacometida El?ctrica;0,0;
612;Cinta TomaC Especial 110V;0,0;
613;Accesorios El?ctricos Salida Normal;0,0;
614;Accesorios El?ctricos Salida Tomacorriente Doble;0,0;
615;Accesorios El?ctricos Tomacorriente Especial 110 V;0,0;
616;Accesorios Salida T.V;0,0;
617;Accesorios Salida Tel?fono;0,0;
618;Toma Corriente Polo aTierra;0,0;
619;Toma Corriente Especial 220 V;0,0;
620;Sistema General de polo aTIerra;0,0;
621;Tablero Monofˇsico 8 puestos;0,0;
622;ProtecciΩn 1 x 15 A;0,0;
623;Lampara de 2x 48;0,0;
624;Lampara de 2x 96;0,0;
625;Lampara de Sodio Tipo Hongo;0,0;
626;Materiales Varios ;0,0;
627;Materiales Varios1;0,0;
628;Reflector de mercurio de 400w ;0,0;
629;"Lampara AP de sodio de 150  W en tubo de perforaci?n de 2"" X 45 m";0,0;
630;Reflector de sodio de 250 W;0,0;
631;"Poste met?lico de Perforaci?n de L12m D= 4""";0,0;
632;Luminaria de sodio de 150 W;0,0;
633;Caja Subterranea de Paso 30 X 30 cm;0,0;
634;Caja de Inspecci?n Fundida 30 X 30;0,0;
635;Tablero General de 18 circuitos;0,0;
636;Lampara Ornamental Tipo Colonial - doble (según diseœo);0,0;
701;Ladrillo H - 15;0,0;
702;Ladrillo H - 10;0,0;
703;Ladrillo Hollman multiperforado;0,0;
704;Ladrillo Temosa;0,0;
705;Ladrillo T-1 o Tolete;0,0;
706;Ladrillo Tipo Alfag≠a ST para bordillos;0,0;
